aluguel_id,cliente_id,hospedagem_id,data_inicio,data_fim,preco_total
1049,1049,8,2022-03-25,2022-03-30,4885.0
105,105,2,2023-05-16,2023-05-18,1316.0
1050,1050,1,2022-04-07,2022-04-08,379.0
1051,1051,10,2023-07-25,2023-08-01,6587.0
1052,1052,12,2022-05-21,2022-05-23,1832.0
1053,1053,9,2024-01-31,2024-02-07,819.0
1054,1054,10,2023-08-16,2023-08-23,2989.0
1055,1055,9,2022-05-10,2022-05-13,954.0
1056,1056,7,2024-01-23,2024-01-25,814.0
1057,1057,13,2022-10-24,2022-10-27,2706.0
1058,1058,10,2022-03-27,2022-03-30,2859.0
1059,1059,11,2024-01-17,2024-01-22,1440.0
106,106,2,2022-05-07,2022-05-10,1434.0
1060,1060,2,2023-01-25,2023-01-30,3780.0
1061,1061,11,2022-12-28,2023-01-03,2262.0
1062,1062,4,2022-10-03,2022-10-05,1166.0
1063,1063,12,2024-01-16,2024-01-22,2490.0
1064,1064,6,2023-04-02,2023-04-09,1687.0
1065,1065,12,2023-05-15,2023-05-19,524.0
1066,1066,4,2022-04-10,2022-04-12,614.0
1067,1067,4,2023-10-03,2023-10-08,1285.0
1068,1068,9,2024-01-25,2024-01-30,2875.0
1069,1069,6,2023-03-02,2023-03-08,1722.0
107,107,2,2022-11-03,2022-11-10,2807.0
1070,1070,8,2023-12-06,2023-12-10,1372.0
1071,1071,14,2023-06-15,2023-06-20,3880.0
1072,1072,6,2023-02-20,2023-02-23,489.0
1073,1073,8,2023-02-07,2023-02-10,1689.0
1074,1074,7,2023-02-17,2023-02-19,586.0
1075,1075,7,2022-11-27,2022-11-30,2970.0
1076,1076,11,2022-05-02,2022-05-08,3234.0
1077,1077,9,2022-09-09,2022-09-16,1092.0
1078,1078,7,2022-07-07,2022-07-11,3748.0
1079,1079,10,2023-06-05,2023-06-06,253.0
108,108,4,2023-12-25,2023-12-30,3760.0
1080,1080,10,2023-01-19,2023-01-22,1587.0
1081,1081,12,2024-01-25,2024-01-26,241.0
1082,1082,9,2023-05-05,2023-05-06,140.0
1083,1083,10,2023-03-12,2023-03-16,1528.0
1084,1084,6,2023-05-08,2023-05-12,720.0
1085,1085,11,2022-03-27,2022-03-30,1338.0
1086,1086,8,2022-09-06,2022-09-13,6013.0
1087,1087,2,2022-05-13,2022-05-16,2112.0
1088,1088,15,2022-05-26,2022-05-31,3485.0
1089,1089,8,2024-02-18,2024-02-23,830.0
109,109,1,2022-09-23,2022-09-25,1756.0
1090,1090,8,2022-03-07,2022-03-13,3900.0
1091,1091,4,2022-09-24,2022-09-30,4164.0
1092,1092,8,2023-06-01,2023-06-07,4884.0
1093,1093,10,2023-11-12,2023-11-18,4182.0
1094,1094,3,2022-06-04,2022-06-06,248.0
1095,1095,3,2023-09-19,2023-09-25,2748.0
1096,1096,6,2023-12-29,2024-01-03,3235.0
1097,1097,4,2022-08-04,2022-08-09,4925.0
1098,1098,7,2023-10-25,2023-10-27,208.0
1099,1099,4,2023-10-17,2023-10-18,493.0
11,11,1,2022-04-02,2022-04-05,768.0
110,110,1,2022-06-17,2022-06-20,330.0
1100,1100,9,2023-12-25,2024-01-01,5383.0
1101,1101,9,2024-02-18,2024-02-22,608.0
1102,1102,5,2022-05-17,2022-05-24,4739.0
1103,1103,10,2022-04-16,2022-04-18,1570.0
1104,1104,9,2022-04-25,2022-04-27,1972.0
1105,1105,10,2022-09-13,2022-09-15,1668.0
1106,1106,7,2022-07-29,2022-08-03,1640.0
1107,1107,11,2022-07-19,2022-07-24,670.0
1108,1108,12,2023-08-03,2023-08-07,2016.0
1109,1109,10,2022-12-29,2022-12-31,882.0
111,111,2,2023-01-17,2023-01-23,4608.0
1110,1110,2,2022-04-29,2022-04-30,383.0
1111,1111,11,2022-09-10,2022-09-14,2748.0
1112,1112,5,2022-12-29,2023-01-04,5682.0
1113,1113,8,2023-08-04,2023-08-06,362.0
1114,1114,8,2022-07-29,2022-08-02,3168.0
1115,1115,6,2022-07-19,2022-07-22,2298.0
1116,1116,11,2023-05-22,2023-05-28,4350.0
1117,1117,15,2023-04-11,2023-04-15,3992.0
1118,1118,10,2022-09-12,2022-09-18,3558.0
1119,1119,13,2024-01-07,2024-01-12,3510.0
112,112,1,2022-10-25,2022-10-26,738.0
1120,1120,5,2023-09-28,2023-10-02,3912.0
1121,1121,1,2023-01-10,2023-01-14,1936.0
1122,1122,8,2023-04-01,2023-04-06,4810.0
1123,1123,7,2022-04-06,2022-04-12,5226.0
1124,1124,11,2023-11-08,2023-11-15,6524.0
1125,1125,1,2023-05-29,2023-05-30,423.0
1126,1126,8,2022-10-18,2022-10-24,4128.0
1127,1127,6,2022-07-08,2022-07-09,123.0
1128,1128,6,2023-03-23,2023-03-28,1505.0
1129,1129,9,2023-07-26,2023-07-31,4495.0
113,113,4,2022-11-02,2022-11-07,2960.0
1130,1130,10,2022-10-07,2022-10-12,1800.0
1131,1131,1,2023-10-23,2023-10-24,627.0
1132,1132,7,2023-10-01,2023-10-02,616.0
1133,1133,8,2022-11-27,2022-12-02,4960.0
1134,1134,12,2023-11-14,2023-11-18,1520.0
1135,1135,6,2022-06-02,2022-06-07,2370.0
1136,1136,7,2023-12-27,2023-12-31,1440.0
1137,1137,4,2023-07-17,2023-07-18,320.0
1138,1138,12,2022-09-09,2022-09-12,1122.0
1139,1139,5,2023-01-28,2023-01-29,910.0
114,114,1,2024-01-26,2024-01-30,1624.0
1140,1140,10,2023-02-10,2023-02-14,2436.0
1141,1141,10,2023-10-14,2023-10-19,2370.0
1142,1142,1,2022-10-18,2022-10-19,112.0
1143,1143,11,2023-07-24,2023-07-26,1898.0
1144,1144,8,2022-08-15,2022-08-20,530.0
1145,1145,11,2022-12-17,2022-12-18,423.0
1146,1146,10,2023-09-10,2023-09-17,6328.0
1147,1147,8,2022-04-01,2022-04-06,3515.0
1148,1148,4,2023-01-27,2023-02-03,5138.0
1149,1149,8,2023-10-22,2023-10-27,3810.0
115,115,2,2022-03-10,2022-03-13,2550.0
1150,1150,10,2022-03-19,2022-03-26,5061.0
1151,1151,7,2023-05-11,2023-05-15,1840.0
1152,1152,12,2022-05-18,2022-05-24,1104.0
1153,1153,8,2022-03-16,2022-03-20,480.0
1154,1154,10,2022-06-22,2022-06-24,222.0
1155,1155,1,2023-11-07,2023-11-08,789.0
1156,1156,5,2022-04-27,2022-05-04,3304.0
1157,1157,6,2022-11-13,2022-11-15,272.0
1158,1158,10,2024-02-02,2024-02-07,2465.0
1159,1159,2,2024-01-20,2024-01-26,2634.0
116,116,3,2023-11-03,2023-11-10,3024.0
1160,1160,13,2023-05-13,2023-05-19,3114.0
1161,1161,5,2023-12-28,2023-12-29,753.0
1162,1162,11,2023-09-03,2023-09-05,434.0
1163,1163,10,2023-06-09,2023-06-14,3480.0
1164,1164,9,2023-09-21,2023-09-27,5574.0
1165,1165,8,2023-11-18,2023-11-25,4277.0
1166,1166,10,2023-10-08,2023-10-10,1824.0
1167,1167,3,2022-04-12,2022-04-14,1286.0
1168,1168,11,2023-10-08,2023-10-15,5061.0
1169,1169,7,2022-06-06,2022-06-10,3988.0
117,117,3,2023-03-09,2023-03-10,435.0
1170,1170,7,2023-06-02,2023-06-03,806.0
1171,1171,5,2023-05-03,2023-05-04,969.0
1172,1172,14,2022-10-23,2022-10-26,1995.0
1173,1173,8,2022-07-08,2022-07-13,2145.0
1174,1174,3,2022-09-26,2022-10-01,4645.0
1175,1175,11,2023-06-12,2023-06-14,736.0
1176,1176,10,2023-12-26,2023-12-30,3704.0
1177,1177,5,2023-10-12,2023-10-13,765.0
1178,1178,9,2022-04-03,2022-04-07,3680.0
1179,1179,9,2022-10-04,2022-10-10,4986.0
118,118,4,2023-08-26,2023-08-31,4265.0
1180,1180,7,2022-12-04,2022-12-06,1770.0
1181,1181,10,2022-06-15,2022-06-19,1000.0
1182,1182,10,2023-09-22,2023-09-26,2160.0
1183,1183,8,2023-02-19,2023-02-25,4500.0
1184,1184,11,2022-05-20,2022-05-27,2548.0
1185,1185,8,2023-09-22,2023-09-23,633.0
1186,1186,2,2023-02-07,2023-02-14,3269.0
1187,1187,4,2022-08-01,2022-08-03,1156.0
1188,1188,10,2022-04-15,2022-04-22,2415.0
1189,1189,9,2022-03-12,2022-03-16,3636.0
119,119,1,2024-01-24,2024-01-31,2968.0
1190,1190,11,2023-06-24,2023-06-28,2808.0
1191,1191,11,2023-08-10,2023-08-16,3138.0
1192,1192,12,2023-01-03,2023-01-10,4830.0
1193,1193,3,2023-11-12,2023-11-13,947.0
1194,1194,11,2022-03-14,2022-03-19,3385.0
1195,1195,11,2024-02-06,2024-02-10,1480.0
1196,1196,8,2022-06-01,2022-06-06,1455.0
1197,1197,10,2023-04-06,2023-04-10,3140.0
1198,1198,10,2022-04-06,2022-04-08,1570.0
1199,1199,10,2022-06-14,2022-06-20,2676.0
12,12,2,2022-05-23,2022-05-24,596.0
120,120,1,2022-07-14,2022-07-20,4626.0
1200,1200,10,2022-09-08,2022-09-11,1542.0
1201,1201,11,2023-02-14,2023-02-18,2804.0
1202,1202,8,2023-06-10,2023-06-11,826.0
1203,1203,11,2023-05-06,2023-05-10,1516.0
1204,1204,11,2023-02-12,2023-02-19,2856.0
1205,1205,6,2022-08-29,2022-09-02,1964.0
1206,1206,12,2023-04-04,2023-04-09,2520.0
1207,1207,1,2023-03-07,2023-03-08,599.0
1208,1208,4,2022-07-18,2022-07-25,2618.0
1209,1209,11,2022-08-05,2022-08-09,3544.0
121,121,1,2023-03-22,2023-03-24,380.0
1210,1210,6,2023-08-20,2023-08-23,1599.0
1211,1211,11,2023-01-19,2023-01-22,1701.0
1212,1212,6,2023-04-25,2023-04-30,3630.0
1213,1213,8,2023-12-31,2024-01-05,3850.0
1214,1214,10,2022-07-18,2022-07-19,308.0
1215,1215,14,2024-01-03,2024-01-09,4794.0
1216,1216,7,2023-03-26,2023-03-27,688.0
1217,1217,7,2023-03-31,2023-04-05,4795.0
1218,1218,6,2022-06-29,2022-07-06,1449.0
1219,1219,13,2022-09-08,2022-09-11,939.0
122,122,1,2023-06-03,2023-06-05,1182.0
1220,1220,5,2022-06-30,2022-07-02,1270.0
1221,1221,11,2022-04-17,2022-04-24,2954.0
1222,1222,11,2023-11-17,2023-11-24,5264.0
1223,1223,9,2022-07-24,2022-07-26,1424.0
1224,1224,12,2023-05-04,2023-05-08,4000.0
1225,1225,12,2023-06-05,2023-06-06,629.0
1226,1226,11,2022-05-30,2022-06-02,1254.0
1227,1227,9,2023-05-25,2023-05-26,343.0
1228,1228,12,2023-10-09,2023-10-14,2895.0
1229,1229,11,2023-03-31,2023-04-06,2082.0
123,123,1,2022-08-17,2022-08-21,2540.0
1230,1230,13,2023-10-11,2023-10-15,1272.0
1231,1231,9,2023-09-17,2023-09-20,1881.0
1232,1232,9,2023-10-05,2023-10-11,4338.0
1233,1233,12,2023-03-03,2023-03-07,2908.0
1234,1234,6,2022-08-01,2022-08-06,3775.0
1235,1235,8,2023-04-30,2023-05-01,678.0
1236,1236,10,2023-02-17,2023-02-23,2142.0
1237,1237,12,2024-01-28,2024-01-29,631.0
1238,1238,11,2022-04-06,2022-04-12,3774.0
1239,1239,10,2022-04-23,2022-04-25,1242.0
124,124,2,2024-01-27,2024-02-03,2275.0
1240,1240,8,2022-04-30,2022-05-01,579.0
1241,1241,5,2022-12-01,2022-12-02,135.0
1242,1242,5,2023-09-27,2023-10-04,6426.0
1243,1243,9,2022-07-16,2022-07-23,4011.0
1244,1244,3,2023-10-25,2023-10-26,874.0
1245,1245,9,2022-07-09,2022-07-12,2823.0
1246,1246,3,2024-01-15,2024-01-17,1100.0
1247,1247,12,2022-04-04,2022-04-08,3256.0
1248,1248,9,2022-05-27,2022-06-03,2674.0
1249,1249,11,2022-06-18,2022-06-21,660.0
125,125,2,2023-08-18,2023-08-22,1432.0
1250,1250,12,2022-11-04,2022-11-07,768.0
1251,1251,10,2023-04-19,2023-04-26,1001.0
1252,1252,8,2022-11-20,2022-11-22,1386.0
1253,1253,12,2023-07-29,2023-07-31,786.0
1254,1254,12,2023-08-12,2023-08-17,3050.0
1255,1255,8,2023-08-22,2023-08-25,2925.0
1256,1256,8,2022-04-27,2022-04-29,602.0
1257,1257,7,2022-08-16,2022-08-20,3356.0
1258,1258,12,2022-04-15,2022-04-17,1296.0
1259,1259,12,2022-12-30,2023-01-01,306.0
126,126,2,2022-03-15,2022-03-21,1818.0
1260,1260,14,2023-05-18,2023-05-24,5286.0
1261,1261,6,2022-11-23,2022-11-24,166.0
1262,1262,4,2022-06-05,2022-06-11,5076.0
1263,1263,9,2022-11-26,2022-11-30,1016.0
1264,1264,2,2022-12-17,2022-12-23,3534.0
1265,1265,12,2022-03-27,2022-03-31,1172.0
1266,1266,8,2023-04-20,2023-04-21,893.0
1267,1267,10,2024-02-21,2024-02-27,3168.0
1268,1268,13,2023-06-24,2023-06-26,970.0
1269,1269,10,2023-10-27,2023-10-30,1560.0
127,127,1,2023-09-27,2023-09-29,530.0
1270,1270,15,2023-05-17,2023-05-24,3297.0
1271,1271,9,2024-01-05,2024-01-12,1099.0
1272,1272,2,2023-11-11,2023-11-14,414.0
1273,1273,6,2024-02-14,2024-02-15,355.0
1274,1274,11,2023-08-17,2023-08-20,1278.0
1275,1275,9,2023-12-06,2023-12-13,5453.0
1276,1276,13,2022-04-17,2022-04-24,3689.0
1277,1277,6,2023-11-09,2023-11-13,3480.0
1278,1278,9,2024-02-09,2024-02-12,2970.0
1279,1279,11,2023-09-21,2023-09-26,2315.0
128,128,2,2023-08-14,2023-08-17,1392.0
1280,1280,3,2022-12-26,2022-12-30,2180.0
1281,1281,9,2022-11-24,2022-12-01,3759.0
1282,1282,13,2022-12-27,2022-12-31,1832.0
1283,1283,4,2022-10-15,2022-10-18,606.0
1284,1284,7,2022-06-28,2022-07-04,5904.0
1285,1285,12,2022-04-19,2022-04-21,1476.0
1286,1286,9,2023-10-22,2023-10-27,4590.0
1287,1287,13,2022-04-03,2022-04-07,1240.0
1288,1288,11,2023-10-26,2023-10-29,1881.0
1289,1289,12,2022-12-17,2022-12-18,391.0
129,129,2,2023-01-11,2023-01-15,2308.0
1290,1290,7,2023-06-29,2023-07-03,3720.0
1291,1291,8,2022-11-23,2022-11-24,524.0
1292,1292,5,2023-02-02,2023-02-04,430.0
1293,1293,16,2023-04-11,2023-04-15,488.0
1294,1294,9,2022-11-14,2022-11-20,3888.0
1295,1295,7,2023-04-27,2023-04-28,703.0
1296,1296,11,2024-02-05,2024-02-12,4522.0
1297,1297,4,2023-12-14,2023-12-17,2955.0
1298,1298,12,2022-09-17,2022-09-21,1176.0
1299,1299,2,2023-12-15,2023-12-16,276.0
13,13,1,2024-02-27,2024-02-29,356.0
130,130,3,2023-11-15,2023-11-22,4858.0
1300,1300,13,2023-03-02,2023-03-03,590.0
1301,1301,11,2023-07-23,2023-07-29,5796.0
1302,1302,10,2023-11-19,2023-11-20,239.0
1303,1303,10,2022-12-01,2022-12-06,4445.0
1304,1304,9,2023-12-02,2023-12-05,2193.0
1305,1305,5,2024-02-23,2024-02-26,2058.0
1306,1306,11,2023-09-16,2023-09-19,1068.0
1307,1307,8,2023-02-06,2023-02-11,1805.0
1308,1308,2,2022-10-06,2022-10-08,984.0
1309,1309,7,2023-01-31,2023-02-04,3748.0
131,131,2,2023-07-23,2023-07-27,3304.0
1310,1310,14,2022-04-20,2022-04-22,1058.0
1311,1311,12,2024-02-03,2024-02-07,1572.0
1312,1312,13,2023-06-05,2023-06-10,1495.0
1313,1313,8,2023-10-18,2023-10-20,1842.0
1314,1314,14,2022-05-27,2022-06-01,3390.0
1315,1315,7,2022-12-08,2022-12-11,2370.0
1316,1316,7,2024-01-13,2024-01-15,1058.0
1317,1317,10,2022-11-25,2022-11-27,594.0
1318,1318,12,2023-02-17,2023-02-19,1352.0
1319,1319,4,2022-05-05,2022-05-07,1138.0
132,132,3,2022-05-03,2022-05-10,3927.0
1320,1320,13,2023-11-15,2023-11-22,5292.0
1321,1321,10,2023-05-04,2023-05-11,1722.0
1322,1322,9,2022-03-19,2022-03-21,978.0
1323,1323,13,2022-09-20,2022-09-23,1140.0
1324,1324,6,2023-06-24,2023-06-30,1788.0
1325,1325,10,2023-12-18,2023-12-24,3576.0
1326,1326,10,2022-10-21,2022-10-25,720.0
1327,1327,13,2023-07-03,2023-07-07,1400.0
1328,1328,9,2023-11-25,2023-11-30,980.0
1329,1329,7,2022-08-27,2022-09-01,2895.0
133,133,4,2023-10-31,2023-11-04,3136.0
1330,1330,13,2024-02-06,2024-02-11,850.0
1331,1331,9,2022-11-21,2022-11-23,1238.0
1332,1332,6,2022-12-12,2022-12-13,609.0
1333,1333,10,2022-12-14,2022-12-21,5453.0
1334,1334,12,2023-05-22,2023-05-26,2736.0
1335,1335,10,2023-11-04,2023-11-08,524.0
1336,1336,10,2023-11-23,2023-11-28,2060.0
1337,1337,16,2023-05-18,2023-05-19,265.0
1338,1338,15,2024-01-02,2024-01-07,3130.0
1339,1339,14,2023-06-23,2023-06-26,375.0
134,134,2,2023-03-04,2023-03-09,4560.0
1340,1340,3,2023-01-29,2023-01-30,175.0
1341,1341,3,2022-08-13,2022-08-14,430.0
1342,1342,12,2023-02-11,2023-02-14,492.0
1343,1343,3,2024-02-09,2024-02-10,149.0
1344,1344,6,2023-01-07,2023-01-14,2303.0
1345,1345,14,2023-06-01,2023-06-05,2152.0
1346,1346,14,2023-07-12,2023-07-16,2352.0
1347,1347,13,2023-05-24,2023-05-30,1110.0
1348,1348,10,2024-01-29,2024-01-31,1136.0
1349,1349,15,2023-05-29,2023-06-05,3073.0
135,135,3,2023-07-22,2023-07-25,2673.0
1350,1350,16,2024-01-05,2024-01-08,2406.0
1351,1351,9,2024-01-21,2024-01-24,441.0
1352,1352,12,2023-09-03,2023-09-05,936.0
1353,1353,6,2023-12-10,2023-12-15,2990.0
1354,1354,5,2023-03-08,2023-03-11,2766.0
1355,1355,8,2023-04-18,2023-04-23,4820.0
1356,1356,12,2023-06-14,2023-06-16,1632.0
1357,1357,8,2023-08-14,2023-08-18,600.0
1358,1358,4,2023-06-22,2023-06-25,540.0
1359,1359,11,2022-08-11,2022-08-16,1535.0
136,136,2,2024-01-12,2024-01-15,489.0
1360,1360,12,2023-02-10,2023-02-15,4940.0
1361,1361,13,2023-06-13,2023-06-15,1812.0
1362,1362,9,2023-08-19,2023-08-23,1208.0
1363,1363,12,2022-03-17,2022-03-24,4179.0
1364,1364,10,2023-08-11,2023-08-15,2976.0
1365,1365,4,2024-02-29,2024-03-03,2397.0
1366,1366,13,2022-12-17,2022-12-20,624.0
1367,1367,13,2023-01-03,2023-01-09,4476.0
1368,1368,14,2022-12-24,2022-12-30,5406.0
1369,1369,6,2022-03-08,2022-03-09,685.0
137,137,2,2023-02-15,2023-02-17,1212.0
1370,1370,12,2023-12-17,2023-12-22,605.0
1371,1371,9,2022-09-27,2022-10-01,508.0
1372,1372,12,2023-09-24,2023-09-27,2913.0
1373,1373,12,2023-12-26,2023-12-27,842.0
1374,1374,11,2022-10-11,2022-10-14,402.0
1375,1375,11,2023-11-25,2023-11-29,1124.0
1376,1376,9,2022-10-20,2022-10-22,888.0
1377,1377,16,2023-05-15,2023-05-20,2225.0
1378,1378,9,2023-02-06,2023-02-08,244.0
1379,1379,5,2022-08-15,2022-08-22,1036.0
138,138,2,2022-12-18,2022-12-22,3544.0
1380,1380,7,2023-09-21,2023-09-22,875.0
1381,1381,10,2023-08-28,2023-08-31,2289.0
1382,1382,12,2022-10-29,2022-11-02,1560.0
1383,1383,12,2022-06-20,2022-06-24,1372.0
1384,1384,10,2023-10-06,2023-10-11,3815.0
1385,1385,10,2023-03-24,2023-03-27,1176.0
1386,1386,11,2023-11-04,2023-11-05,242.0
1387,1387,12,2023-09-13,2023-09-17,1604.0
1388,1388,7,2023-03-09,2023-03-12,351.0
1389,1389,15,2023-07-03,2023-07-08,1305.0
139,139,1,2022-05-15,2022-05-16,934.0
1390,1390,4,2022-09-04,2022-09-06,742.0
1391,1391,13,2023-09-15,2023-09-19,3176.0
1392,1392,7,2022-10-01,2022-10-04,1860.0
1393,1393,12,2023-10-29,2023-11-05,4459.0
1394,1394,8,2023-05-03,2023-05-04,186.0
1395,1395,15,2023-06-15,2023-06-21,4962.0
1396,1396,7,2023-10-14,2023-10-21,3647.0
1397,1397,12,2023-06-07,2023-06-13,846.0
1398,1398,14,2022-09-09,2022-09-11,1924.0
1399,1399,13,2022-03-18,2022-03-23,2840.0
14,14,1,2022-10-31,2022-11-01,750.0
140,140,2,2022-11-19,2022-11-21,1518.0
1400,1400,8,2024-01-31,2024-02-03,2910.0
1401,1401,15,2022-10-25,2022-10-29,2032.0
1402,1402,12,2022-04-22,2022-04-26,1208.0
1403,1403,4,2023-09-01,2023-09-03,224.0
1404,1404,13,2023-08-14,2023-08-15,153.0
1405,1405,13,2023-08-07,2023-08-13,2898.0
1406,1406,9,2023-03-07,2023-03-10,1947.0
1407,1407,16,2023-06-17,2023-06-21,1096.0
1408,1408,1,2022-09-30,2022-10-07,2170.0
1409,1409,14,2022-04-14,2022-04-19,1990.0
141,141,3,2024-01-27,2024-01-30,2271.0
1410,1410,11,2023-01-04,2023-01-06,1730.0
1411,1411,5,2024-03-05,2024-03-07,690.0
1412,1412,16,2022-05-25,2022-05-28,1920.0
1413,1413,9,2023-03-25,2023-03-31,1680.0
1414,1414,8,2022-07-02,2022-07-04,884.0
1415,1415,10,2022-03-12,2022-03-13,423.0
1416,1416,11,2023-08-21,2023-08-22,110.0
1417,1417,4,2022-07-30,2022-07-31,723.0
1418,1418,12,2023-10-15,2023-10-22,4907.0
1419,1419,13,2022-03-26,2022-03-30,732.0
142,142,1,2022-06-25,2022-06-27,338.0
1420,1420,13,2023-04-05,2023-04-07,494.0
1421,1421,14,2023-08-07,2023-08-13,5118.0
1422,1422,9,2022-05-24,2022-05-26,1560.0
1423,1423,10,2022-09-19,2022-09-21,1522.0
1424,1424,14,2022-03-27,2022-03-31,2168.0
1425,1425,11,2022-11-26,2022-12-01,3895.0
1426,1426,10,2022-07-11,2022-07-12,315.0
1427,1427,2,2023-12-04,2023-12-11,6153.0
1428,1428,11,2022-03-12,2022-03-13,809.0
1429,1429,7,2023-10-23,2023-10-30,6370.0
143,143,2,2023-06-22,2023-06-26,1016.0
1430,1430,13,2023-07-29,2023-08-05,2933.0
1431,1431,3,2022-06-11,2022-06-17,2214.0
1432,1432,13,2023-12-23,2023-12-27,3104.0
1433,1433,11,2022-06-25,2022-06-30,1790.0
1434,1434,11,2022-10-05,2022-10-10,3075.0
1435,1435,15,2022-04-17,2022-04-24,6496.0
1436,1436,14,2022-12-11,2022-12-18,6153.0
1437,1437,3,2022-03-13,2022-03-14,903.0
1438,1438,13,2023-05-01,2023-05-08,1967.0
1439,1439,11,2022-05-10,2022-05-12,1646.0
144,144,3,2022-04-19,2022-04-20,961.0
1440,1440,14,2023-10-10,2023-10-15,4705.0
1441,1441,13,2023-09-23,2023-09-27,672.0
1442,1442,14,2023-08-14,2023-08-18,2072.0
1443,1443,12,2022-10-02,2022-10-09,2457.0
1444,1444,8,2022-08-12,2022-08-14,968.0
1445,1445,17,2023-05-16,2023-05-23,2275.0
1446,1446,13,2022-06-21,2022-06-26,1600.0
1447,1447,3,2023-03-29,2023-04-01,459.0
1448,1448,7,2023-05-10,2023-05-16,2862.0
1449,1449,17,2023-06-18,2023-06-22,1948.0
145,145,2,2022-07-18,2022-07-19,506.0
1450,1450,14,2022-04-03,2022-04-06,675.0
1451,1451,9,2022-08-05,2022-08-12,2618.0
1452,1452,13,2023-10-27,2023-10-29,1538.0
1453,1453,3,2023-02-27,2023-02-28,941.0
1454,1454,14,2023-09-17,2023-09-19,1208.0
1455,1455,15,2023-10-09,2023-10-12,2685.0
1456,1456,17,2023-04-12,2023-04-15,1233.0
1457,1457,7,2023-01-23,2023-01-24,857.0
1458,1458,11,2023-04-30,2023-05-05,4370.0
1459,1459,9,2022-08-19,2022-08-21,1808.0
146,146,2,2024-02-17,2024-02-20,870.0
1460,1460,7,2023-02-21,2023-02-28,5922.0
1461,1461,11,2022-05-28,2022-06-04,2352.0
1462,1462,9,2022-08-01,2022-08-04,1686.0
1463,1463,16,2023-05-21,2023-05-26,3750.0
1464,1464,6,2024-02-04,2024-02-05,505.0
1465,1465,2,2023-11-24,2023-11-25,476.0
1466,1466,15,2022-03-20,2022-03-27,3423.0
1467,1467,8,2022-05-24,2022-05-31,3577.0
1468,1468,14,2023-06-09,2023-06-10,434.0
1469,1469,14,2022-06-15,2022-06-21,3618.0
147,147,5,2022-11-01,2022-11-04,684.0
