avaliacao_id,cliente_id,hospedagem_id,nota,comentario
1038,1038,9,5,"Agradável limpeza.
"
1039,1039,9,1,"Incrível infraestrutura.
"
104,104,1,4,"Excelente serviços.
"
1040,1040,8,2,"Agradável limpeza.
"
1041,1041,9,5,"Agradável atendimento.
"
1042,1042,10,2,"Ótima serviços.
"
1043,1043,11,5,"Agradável localização.
"
1044,1044,13,5,"Confortável localização.
"
1045,1045,7,1,"Incrível localização.
"
1046,1046,4,3,"Confortável infraestrutura.
"
1047,1047,5,3,"Ótima atendimento.
"
1048,1048,13,2,"Excelente atendimento.
"
1049,1049,8,2,"Agradável serviços.
"
105,105,2,2,"Ótima serviços.
"
1050,1050,1,3,"Confortável localização.
"
1051,1051,10,3,"Excelente localização.
"
1052,1052,12,1,"Maravilhosa serviços.
"
1053,1053,9,5,"Excelente atendimento.
"
1054,1054,10,4,"Incrível limpeza.
"
1055,1055,9,1,"Maravilhosa atendimento.
"
1056,1056,7,3,"Incrível serviços.
"
1057,1057,13,5,"Maravilhosa localização.
"
1058,1058,10,4,"Ótima limpeza.
"
1059,1059,11,3,"Agradável atendimento.
"
106,106,2,5,"Confortável atendimento.
"
1060,1060,2,1,"Maravilhosa infraestrutura.
"
1061,1061,11,5,"Incrível limpeza.
"
1062,1062,4,4,"Agradável localização.
"
1063,1063,12,4,"Excelente localização.
"
1064,1064,6,3,"Incrível localização.
"
1065,1065,12,4,"Maravilhosa limpeza.
"
1066,1066,4,4,"Excelente atendimento.
"
1067,1067,4,2,"Maravilhosa infraestrutura.
"
1068,1068,9,4,"Maravilhosa infraestrutura.
"
1069,1069,6,5,"Agradável limpeza.
"
107,107,2,5,"Incrível atendimento.
"
1070,1070,8,5,"Agradável limpeza.
"
1071,1071,14,3,"Agradável limpeza.
"
1072,1072,6,1,"Confortável limpeza.
"
1073,1073,8,1,"Excelente infraestrutura.
"
1074,1074,7,1,"Incrível atendimento.
"
1075,1075,7,3,"Excelente infraestrutura.
"
1076,1076,11,5,"Confortável atendimento.
"
1077,1077,9,5,"Maravilhosa atendimento.
"
1078,1078,7,5,"Confortável localização.
"
1079,1079,10,2,"Excelente atendimento.
"
108,108,4,2,"Agradável localização.
"
1080,1080,10,1,"Excelente atendimento.
"
1081,1081,12,4,"Agradável localização.
"
1082,1082,9,1,"Agradável localização.
"
1083,1083,10,4,"Excelente limpeza.
"
1084,1084,6,5,"Incrível limpeza.
"
1085,1085,11,1,"Incrível atendimento.
"
1086,1086,8,3,"Incrível localização.
"
1087,1087,2,1,"Incrível limpeza.
"
1088,1088,15,3,"Excelente limpeza.
"
1089,1089,8,3,"Excelente limpeza.
"
109,109,1,1,"Agradável limpeza.
"
1090,1090,8,1,"Maravilhosa serviços.
"
1091,1091,4,3,"Maravilhosa localização.
"
1092,1092,8,4,"Agradável serviços.
"
1093,1093,10,2,"Ótima atendimento.
"
1094,1094,3,5,"Incrível serviços.
"
1095,1095,3,1,"Maravilhosa serviços.
"
1096,1096,6,5,"Confortável atendimento.
"
1097,1097,4,4,"Ótima limpeza.
"
1098,1098,7,2,"Ótima limpeza.
"
1099,1099,4,4,"Agradável infraestrutura.
"
11,11,1,2,"Confortável serviços.
"
110,110,1,2,"Confortável serviços.
"
1100,1100,9,5,"Maravilhosa infraestrutura.
"
1101,1101,9,5,"Ótima localização.
"
1102,1102,5,5,"Excelente localização.
"
1103,1103,10,5,"Agradável infraestrutura.
"
1104,1104,9,2,"Agradável localização.
"
1105,1105,10,2,"Ótima serviços.
"
1106,1106,7,1,"Ótima atendimento.
"
1107,1107,11,3,"Agradável localização.
"
1108,1108,12,1,"Agradável serviços.
"
1109,1109,10,1,"Incrível localização.
"
111,111,2,3,"Maravilhosa atendimento.
"
1110,1110,2,4,"Excelente localização.
"
1111,1111,11,2,"Excelente infraestrutura.
"
1112,1112,5,2,"Maravilhosa infraestrutura.
"
1113,1113,8,1,"Ótima serviços.
"
1114,1114,8,2,"Incrível serviços.
"
1115,1115,6,3,"Agradável limpeza.
"
1116,1116,11,4,"Ótima atendimento.
"
1117,1117,15,1,"Confortável limpeza.
"
1118,1118,10,4,"Excelente localização.
"
1119,1119,13,5,"Confortável serviços.
"
112,112,1,3,"Excelente atendimento.
"
1120,1120,5,5,"Agradável localização.
"
1121,1121,1,2,"Incrível localização.
"
1122,1122,8,5,"Incrível limpeza.
"
1123,1123,7,2,"Agradável serviços.
"
1124,1124,11,3,"Excelente infraestrutura.
"
1125,1125,1,4,"Excelente limpeza.
"
1126,1126,8,5,"Ótima serviços.
"
1127,1127,6,2,"Excelente localização.
"
1128,1128,6,4,"Maravilhosa infraestrutura.
"
1129,1129,9,4,"Maravilhosa localização.
"
113,113,4,3,"Confortável limpeza.
"
1130,1130,10,4,"Incrível serviços.
"
1131,1131,1,5,"Excelente localização.
"
1132,1132,7,5,"Agradável localização.
"
1133,1133,8,3,"Maravilhosa localização.
"
1134,1134,12,1,"Confortável limpeza.
"
1135,1135,6,4,"Excelente limpeza.
"
1136,1136,7,5,"Incrível atendimento.
"
1137,1137,4,5,"Confortável localização.
"
1138,1138,12,2,"Incrível localização.
"
1139,1139,5,1,"Agradável limpeza.
"
114,114,1,2,"Ótima infraestrutura.
"
1140,1140,10,1,"Maravilhosa atendimento.
"
1141,1141,10,4,"Ótima infraestrutura.
"
1142,1142,1,3,"Agradável limpeza.
"
1143,1143,11,5,"Confortável serviços.
"
1144,1144,8,1,"Ótima infraestrutura.
"
1145,1145,11,2,"Ótima localização.
"
1146,1146,10,5,"Maravilhosa localização.
"
1147,1147,8,5,"Agradável localização.
"
1148,1148,4,4,"Maravilhosa limpeza.
"
1149,1149,8,1,"Ótima infraestrutura.
"
115,115,2,4,"Ótima limpeza.
"
1150,1150,10,5,"Agradável localização.
"
1151,1151,7,5,"Maravilhosa limpeza.
"
1152,1152,12,1,"Agradável serviços.
"
1153,1153,8,1,"Ótima atendimento.
"
1154,1154,10,2,"Confortável localização.
"
1155,1155,1,2,"Excelente serviços.
"
1156,1156,5,1,"Maravilhosa limpeza.
"
1157,1157,6,4,"Incrível atendimento.
"
1158,1158,10,1,"Excelente localização.
"
1159,1159,2,2,"Maravilhosa serviços.
"
116,116,3,2,"Excelente limpeza.
"
1160,1160,13,2,"Agradável localização.
"
1161,1161,5,2,"Incrível atendimento.
"
1162,1162,11,4,"Maravilhosa atendimento.
"
1163,1163,10,3,"Incrível limpeza.
"
1164,1164,9,5,"Agradável atendimento.
"
1165,1165,8,4,"Ótima infraestrutura.
"
1166,1166,10,5,"Maravilhosa infraestrutura.
"
1167,1167,3,3,"Ótima infraestrutura.
"
1168,1168,11,4,"Incrível limpeza.
"
1169,1169,7,4,"Incrível serviços.
"
117,117,3,2,"Confortável serviços.
"
1170,1170,7,3,"Incrível localização.
"
1171,1171,5,2,"Maravilhosa limpeza.
"
1172,1172,14,3,"Incrível localização.
"
1173,1173,8,4,"Excelente serviços.
"
1174,1174,3,2,"Maravilhosa localização.
"
1175,1175,11,4,"Maravilhosa limpeza.
"
1176,1176,10,4,"Ótima serviços.
"
1177,1177,5,3,"Ótima atendimento.
"
1178,1178,9,2,"Ótima localização.
"
1179,1179,9,2,"Maravilhosa localização.
"
118,118,4,2,"Excelente atendimento.
"
1180,1180,7,4,"Ótima serviços.
"
1181,1181,10,1,"Ótima serviços.
"
1182,1182,10,4,"Excelente localização.
"
1183,1183,8,3,"Excelente serviços.
"
1184,1184,11,2,"Incrível localização.
"
1185,1185,8,5,"Maravilhosa localização.
"
1186,1186,2,3,"Confortável localização.
"
1187,1187,4,3,"Excelente atendimento.
"
1188,1188,10,5,"Excelente limpeza.
"
1189,1189,9,3,"Ótima atendimento.
"
119,119,1,3,"Confortável atendimento.
"
1190,1190,11,4,"Maravilhosa localização.
"
1191,1191,11,1,"Incrível localização.
"
1192,1192,12,1,"Maravilhosa infraestrutura.
"
1193,1193,3,1,"Confortável limpeza.
"
1194,1194,11,2,"Ótima infraestrutura.
"
1195,1195,11,3,"Ótima localização.
"
1196,1196,8,5,"Ótima serviços.
"
1197,1197,10,1,"Excelente infraestrutura.
"
1198,1198,10,1,"Confortável limpeza.
"
1199,1199,10,1,"Confortável localização.
"
12,12,2,3,"Confortável infraestrutura.
"
120,120,1,5,"Confortável atendimento.
"
1200,1200,10,5,"Confortável serviços.
"
1201,1201,11,3,"Confortável localização.
"
1202,1202,8,1,"Maravilhosa localização.
"
1203,1203,11,3,"Incrível atendimento.
"
1204,1204,11,4,"Incrível atendimento.
"
1205,1205,6,3,"Incrível limpeza.
"
1206,1206,12,4,"Ótima atendimento.
"
1207,1207,1,4,"Excelente serviços.
"
1208,1208,4,5,"Ótima serviços.
"
1209,1209,11,2,"Incrível infraestrutura.
"
121,121,1,3,"Excelente atendimento.
"
1210,1210,6,4,"Incrível localização.
"
1211,1211,11,3,"Ótima atendimento.
"
1212,1212,6,2,"Ótima atendimento.
"
1213,1213,8,1,"Maravilhosa infraestrutura.
"
1214,1214,10,4,"Excelente localização.
"
1215,1215,14,1,"Maravilhosa infraestrutura.
"
1216,1216,7,1,"Excelente serviços.
"
1217,1217,7,5,"Confortável atendimento.
"
1218,1218,6,1,"Maravilhosa infraestrutura.
"
1219,1219,13,4,"Maravilhosa atendimento.
"
122,122,1,3,"Maravilhosa atendimento.
"
1220,1220,5,4,"Confortável infraestrutura.
"
1221,1221,11,5,"Ótima limpeza.
"
1222,1222,11,5,"Maravilhosa atendimento.
"
1223,1223,9,1,"Incrível limpeza.
"
1224,1224,12,2,"Ótima limpeza.
"
1225,1225,12,2,"Agradável infraestrutura.
"
1226,1226,11,1,"Agradável localização.
"
1227,1227,9,4,"Ótima limpeza.
"
1228,1228,12,1,"Excelente limpeza.
"
1229,1229,11,1,"Ótima infraestrutura.
"
123,123,1,5,"Confortável localização.
"
1230,1230,13,2,"Ótima serviços.
"
1231,1231,9,2,"Excelente atendimento.
"
1232,1232,9,1,"Excelente localização.
"
1233,1233,12,5,"Excelente serviços.
"
1234,1234,6,2,"Excelente localização.
"
1235,1235,8,1,"Excelente serviços.
"
1236,1236,10,1,"Excelente infraestrutura.
"
1237,1237,12,2,"Excelente infraestrutura.
"
1238,1238,11,2,"Maravilhosa localização.
"
1239,1239,10,5,"Confortável limpeza.
"
124,124,2,4,"Agradável serviços.
"
1240,1240,8,1,"Confortável infraestrutura.
"
1241,1241,5,3,"Maravilhosa atendimento.
"
1242,1242,5,5,"Ótima serviços.
"
1243,1243,9,5,"Maravilhosa limpeza.
"
1244,1244,3,5,"Excelente limpeza.
"
1245,1245,9,3,"Excelente localização.
"
1246,1246,3,3,"Confortável localização.
"
1247,1247,12,2,"Confortável localização.
"
1248,1248,9,1,"Maravilhosa infraestrutura.
"
1249,1249,11,1,"Incrível localização.
"
125,125,2,2,"Confortável localização.
"
1250,1250,12,3,"Confortável localização.
"
1251,1251,10,3,"Confortável serviços.
"
1252,1252,8,4,"Confortável serviços.
"
1253,1253,12,4,"Incrível infraestrutura.
"
1254,1254,12,3,"Ótima serviços.
"
1255,1255,8,4,"Incrível atendimento.
"
1256,1256,8,1,"Incrível limpeza.
"
1257,1257,7,3,"Agradável infraestrutura.
"
1258,1258,12,1,"Incrível atendimento.
"
1259,1259,12,4,"Excelente limpeza.
"
126,126,2,5,"Ótima infraestrutura.
"
1260,1260,14,4,"Excelente serviços.
"
1261,1261,6,3,"Excelente serviços.
"
1262,1262,4,4,"Agradável limpeza.
"
1263,1263,9,4,"Ótima limpeza.
"
1264,1264,2,3,"Excelente serviços.
"
1265,1265,12,4,"Excelente limpeza.
"
1266,1266,8,5,"Excelente limpeza.
"
1267,1267,10,3,"Ótima infraestrutura.
"
1268,1268,13,1,"Incrível serviços.
"
1269,1269,10,1,"Incrível localização.
"
127,127,1,3,"Ótima limpeza.
"
1270,1270,15,3,"Maravilhosa serviços.
"
1271,1271,9,3,"Ótima atendimento.
"
1272,1272,2,5,"Ótima infraestrutura.
"
1273,1273,6,5,"Agradável localização.
"
1274,1274,11,3,"Incrível limpeza.
"
1275,1275,9,2,"Agradável limpeza.
"
1276,1276,13,2,"Incrível infraestrutura.
"
1277,1277,6,4,"Excelente limpeza.
"
1278,1278,9,1,"Agradável infraestrutura.
"
1279,1279,11,3,"Excelente serviços.
"
128,128,2,4,"Maravilhosa limpeza.
"
1280,1280,3,4,"Ótima limpeza.
"
1281,1281,9,3,"Agradável limpeza.
"
1282,1282,13,4,"Ótima localização.
"
1283,1283,4,4,"Ótima localização.
"
1284,1284,7,5,"Ótima localização.
"
1285,1285,12,5,"Excelente atendimento.
"
1286,1286,9,1,"Incrível localização.
"
1287,1287,13,2,"Excelente localização.
"
1288,1288,11,3,"Maravilhosa serviços.
"
1289,1289,12,2,"Incrível limpeza.
"
129,129,2,1,"Incrível limpeza.
"
1290,1290,7,1,"Excelente infraestrutura.
"
1291,1291,8,5,"Excelente serviços.
"
1292,1292,5,2,"Excelente serviços.
"
1293,1293,16,2,"Incrível atendimento.
"
1294,1294,9,4,"Confortável serviços.
"
1295,1295,7,3,"Confortável atendimento.
"
1296,1296,11,2,"Agradável localização.
"
1297,1297,4,3,"Agradável localização.
"
1298,1298,12,2,"Confortável localização.
"
1299,1299,2,5,"Confortável localização.
"
13,13,1,3,"Confortável limpeza.
"
130,130,3,2,"Agradável serviços.
"
1300,1300,13,3,"Incrível atendimento.
"
1301,1301,11,2,"Excelente localização.
"
1302,1302,10,4,"Agradável localização.
"
1303,1303,10,2,"Ótima atendimento.
"
1304,1304,9,2,"Incrível infraestrutura.
"
1305,1305,5,3,"Excelente atendimento.
"
1306,1306,11,1,"Maravilhosa localização.
"
1307,1307,8,2,"Ótima localização.
"
1308,1308,2,2,"Incrível atendimento.
"
1309,1309,7,4,"Ótima localização.
"
131,131,2,4,"Agradável atendimento.
"
1310,1310,14,3,"Ótima serviços.
"
1311,1311,12,5,"Ótima limpeza.
"
1312,1312,13,5,"Agradável serviços.
"
1313,1313,8,2,"Confortável atendimento.
"
1314,1314,14,3,"Agradável limpeza.
"
1315,1315,7,2,"Ótima localização.
"
1316,1316,7,3,"Confortável limpeza.
"
1317,1317,10,3,"Confortável serviços.
"
1318,1318,12,1,"Maravilhosa localização.
"
1319,1319,4,1,"Confortável serviços.
"
132,132,3,2,"Maravilhosa infraestrutura.
"
1320,1320,13,3,"Maravilhosa atendimento.
"
1321,1321,10,2,"Excelente localização.
"
1322,1322,9,4,"Incrível atendimento.
"
1323,1323,13,4,"Agradável localização.
"
1324,1324,6,3,"Maravilhosa localização.
"
1325,1325,10,1,"Confortável serviços.
"
1326,1326,10,2,"Confortável localização.
"
1327,1327,13,4,"Agradável localização.
"
1328,1328,9,4,"Confortável atendimento.
"
1329,1329,7,3,"Ótima atendimento.
"
133,133,4,2,"Confortável localização.
"
1330,1330,13,5,"Incrível serviços.
"
1331,1331,9,4,"Agradável atendimento.
"
1332,1332,6,3,"Incrível localização.
"
1333,1333,10,4,"Maravilhosa limpeza.
"
1334,1334,12,3,"Excelente limpeza.
"
1335,1335,10,5,"Confortável atendimento.
"
1336,1336,10,2,"Incrível limpeza.
"
1337,1337,16,3,"Incrível infraestrutura.
"
1338,1338,15,2,"Excelente limpeza.
"
1339,1339,14,2,"Maravilhosa localização.
"
134,134,2,2,"Excelente atendimento.
"
1340,1340,3,1,"Maravilhosa localização.
"
1341,1341,3,3,"Maravilhosa atendimento.
"
1342,1342,12,1,"Confortável infraestrutura.
"
1343,1343,3,1,"Excelente infraestrutura.
"
1344,1344,6,3,"Excelente localização.
"
1345,1345,14,1,"Confortável atendimento.
"
1346,1346,14,5,"Agradável infraestrutura.
"
1347,1347,13,1,"Incrível localização.
"
1348,1348,10,5,"Excelente atendimento.
"
1349,1349,15,3,"Maravilhosa atendimento.
"
135,135,3,1,"Ótima infraestrutura.
"
1350,1350,16,1,"Agradável serviços.
"
1351,1351,9,2,"Agradável limpeza.
"
1352,1352,12,2,"Maravilhosa localização.
"
1353,1353,6,5,"Maravilhosa localização.
"
1354,1354,5,5,"Incrível infraestrutura.
"
1355,1355,8,3,"Ótima localização.
"
1356,1356,12,2,"Incrível serviços.
"
1357,1357,8,4,"Incrível infraestrutura.
"
1358,1358,4,5,"Excelente infraestrutura.
"
1359,1359,11,3,"Confortável serviços.
"
136,136,2,4,"Confortável serviços.
"
1360,1360,12,3,"Confortável atendimento.
"
1361,1361,13,5,"Maravilhosa infraestrutura.
"
1362,1362,9,4,"Agradável atendimento.
"
1363,1363,12,3,"Excelente localização.
"
1364,1364,10,5,"Confortável limpeza.
"
1365,1365,4,2,"Incrível infraestrutura.
"
1366,1366,13,4,"Incrível serviços.
"
1367,1367,13,1,"Confortável infraestrutura.
"
1368,1368,14,2,"Ótima serviços.
"
1369,1369,6,2,"Agradável localização.
"
137,137,2,3,"Incrível infraestrutura.
"
1370,1370,12,5,"Incrível localização.
"
1371,1371,9,3,"Ótima atendimento.
"
1372,1372,12,3,"Confortável serviços.
"
1373,1373,12,3,"Maravilhosa infraestrutura.
"
1374,1374,11,2,"Agradável localização.
"
1375,1375,11,3,"Ótima infraestrutura.
"
1376,1376,9,1,"Agradável infraestrutura.
"
1377,1377,16,3,"Confortável serviços.
"
1378,1378,9,1,"Excelente infraestrutura.
"
1379,1379,5,5,"Ótima localização.
"
138,138,2,1,"Confortável serviços.
"
1380,1380,7,4,"Incrível localização.
"
1381,1381,10,2,"Ótima atendimento.
"
1382,1382,12,1,"Maravilhosa localização.
"
1383,1383,12,2,"Maravilhosa infraestrutura.
"
1384,1384,10,2,"Agradável limpeza.
"
1385,1385,10,5,"Maravilhosa limpeza.
"
1386,1386,11,2,"Incrível serviços.
"
1387,1387,12,2,"Excelente infraestrutura.
"
1388,1388,7,5,"Confortável localização.
"
1389,1389,15,5,"Excelente atendimento.
"
139,139,1,2,"Agradável serviços.
"
1390,1390,4,4,"Excelente limpeza.
"
1391,1391,13,3,"Agradável serviços.
"
1392,1392,7,3,"Ótima serviços.
"
1393,1393,12,2,"Ótima serviços.
"
1394,1394,8,4,"Confortável limpeza.
"
1395,1395,15,4,"Agradável limpeza.
"
1396,1396,7,5,"Agradável localização.
"
1397,1397,12,2,"Agradável atendimento.
"
1398,1398,14,2,"Ótima serviços.
"
1399,1399,13,3,"Ótima serviços.
"
14,14,1,4,"Maravilhosa infraestrutura.
"
140,140,2,3,"Confortável serviços.
"
1400,1400,8,1,"Excelente infraestrutura.
"
1401,1401,15,2,"Maravilhosa localização.
"
1402,1402,12,4,"Ótima serviços.
"
1403,1403,4,4,"Agradável limpeza.
"
1404,1404,13,5,"Maravilhosa infraestrutura.
"
1405,1405,13,1,"Excelente serviços.
"
1406,1406,9,5,"Confortável localização.
"
1407,1407,16,3,"Ótima serviços.
"
1408,1408,1,5,"Confortável atendimento.
"
1409,1409,14,2,"Excelente atendimento.
"
141,141,3,3,"Ótima infraestrutura.
"
1410,1410,11,3,"Ótima infraestrutura.
"
1411,1411,5,5,"Incrível atendimento.
"
1412,1412,16,3,"Maravilhosa limpeza.
"
1413,1413,9,2,"Excelente serviços.
"
1414,1414,8,1,"Confortável localização.
"
1415,1415,10,1,"Incrível localização.
"
1416,1416,11,2,"Agradável limpeza.
"
1417,1417,4,3,"Agradável atendimento.
"
1418,1418,12,3,"Excelente infraestrutura.
"
1419,1419,13,5,"Agradável atendimento.
"
142,142,1,2,"Excelente localização.
"
1420,1420,13,3,"Confortável limpeza.
"
1421,1421,14,4,"Ótima serviços.
"
1422,1422,9,3,"Excelente limpeza.
"
1423,1423,10,2,"Agradável atendimento.
"
1424,1424,14,2,"Confortável infraestrutura.
"
1425,1425,11,1,"Agradável localização.
"
1426,1426,10,2,"Ótima localização.
"
1427,1427,2,2,"Ótima serviços.
"
1428,1428,11,3,"Confortável limpeza.
"
1429,1429,7,1,"Agradável limpeza.
"
143,143,2,1,"Confortável serviços.
"
1430,1430,13,3,"Agradável infraestrutura.
"
1431,1431,3,1,"Excelente limpeza.
"
1432,1432,13,2,"Confortável localização.
"
1433,1433,11,5,"Excelente serviços.
"
1434,1434,11,4,"Maravilhosa localização.
"
1435,1435,15,5,"Agradável atendimento.
"
1436,1436,14,5,"Incrível serviços.
"
1437,1437,3,3,"Excelente atendimento.
"
1438,1438,13,2,"Agradável serviços.
"
1439,1439,11,1,"Confortável serviços.
"
144,144,3,2,"Maravilhosa atendimento.
"
1440,1440,14,3,"Incrível serviços.
"
1441,1441,13,1,"Ótima localização.
"
1442,1442,14,4,"Ótima limpeza.
"
1443,1443,12,4,"Ótima infraestrutura.
"
1444,1444,8,5,"Maravilhosa serviços.
"
1445,1445,17,4,"Confortável atendimento.
"
1446,1446,13,1,"Agradável limpeza.
"
1447,1447,3,4,"Ótima serviços.
"
1448,1448,7,5,"Ótima localização.
"
1449,1449,17,3,"Agradável limpeza.
"
145,145,2,2,"Agradável infraestrutura.
"
1450,1450,14,2,"Excelente atendimento.
"
1451,1451,9,1,"Confortável limpeza.
"
1452,1452,13,2,"Excelente localização.
"
1453,1453,3,5,"Incrível serviços.
"
1454,1454,14,1,"Confortável infraestrutura.
"
1455,1455,15,3,"Maravilhosa localização.
"
1456,1456,17,4,"Confortável localização.
"
1457,1457,7,5,"Maravilhosa limpeza.
"
1458,1458,11,3,"Agradável localização.
"
1459,1459,9,4,"Incrível limpeza.
"
146,146,2,4,"Excelente serviços.
"
1460,1460,7,3,"Maravilhosa serviços.
"
1461,1461,11,2,"Ótima limpeza.
"
1462,1462,9,3,"Confortável localização.
"
1463,1463,16,4,"Excelente limpeza.
"
1464,1464,6,1,"Maravilhosa atendimento.
"
1465,1465,2,1,"Maravilhosa localização.
"
1466,1466,15,1,"Agradável limpeza.
"
1467,1467,8,4,"Ótima atendimento.
"
1468,1468,14,1,"Maravilhosa atendimento.
"
1469,1469,14,3,"Maravilhosa limpeza.
"
147,147,5,1,"Excelente serviços.
"
1470,1470,15,3,"Ótima limpeza.
"
1471,1471,8,2,"Confortável limpeza.
"
1472,1472,15,4,"Agradável infraestrutura.
"
1473,1473,10,3,"Incrível atendimento.
"
1474,1474,13,4,"Maravilhosa limpeza.
"
1475,1475,8,2,"Confortável limpeza.
"
1476,1476,11,3,"Confortável atendimento.
"
1477,1477,4,1,"Maravilhosa limpeza.
"
1478,1478,8,5,"Confortável infraestrutura.
"
1479,1479,16,2,"Agradável serviços.
"
148,148,3,1,"Confortável serviços.
"
1480,1480,13,2,"Confortável limpeza.
"
1481,1481,5,2,"Ótima atendimento.
"
1482,1482,16,5,"Excelente limpeza.
"
1483,1483,7,5,"Maravilhosa atendimento.
"
1484,1484,13,4,"Agradável serviços.
"
1485,1485,10,1,"Agradável limpeza.
"
1486,1486,10,1,"Confortável limpeza.
"
1487,1487,6,5,"Ótima limpeza.
"
1488,1488,9,4,"Excelente limpeza.
"
1489,1489,6,1,"Ótima atendimento.
"
149,149,3,1,"Incrível infraestrutura.
"
1490,1490,5,3,"Maravilhosa atendimento.
"
1491,1491,14,4,"Maravilhosa serviços.
"
1492,1492,8,1,"Excelente limpeza.
"
1493,1493,10,3,"Ótima atendimento.
"
1494,1494,14,4,"Agradável localização.
"
1495,1495,14,5,"Incrível infraestrutura.
"
1496,1496,12,4,"Ótima atendimento.
"
1497,1497,9,1,"Confortável localização.
"
1498,1498,13,1,"Ótima serviços.
"
1499,1499,11,2,"Maravilhosa serviços.
"
15,15,1,2,"Ótima infraestrutura.
"
150,150,2,2,"Confortável localização.
"
1500,1500,2,3,"Maravilhosa limpeza.
"
1501,1501,15,1,"Incrível serviços.
"
1502,1502,9,4,"Excelente limpeza.
"
1503,1503,5,5,"Agradável limpeza.
"
1504,1504,10,1,"Excelente serviços.
"
1505,1505,15,2,"Incrível localização.
"
1506,1506,13,1,"Agradável limpeza.
"
1507,1507,8,3,"Maravilhosa infraestrutura.
"
1508,1508,16,2,"Confortável serviços.
"
1509,1509,6,3,"Excelente infraestrutura.
"
151,151,3,5,"Agradável limpeza.
"
1510,1510,10,4,"Maravilhosa infraestrutura.
"
1511,1511,14,1,"Maravilhosa atendimento.
"
1512,1512,10,1,"Ótima serviços.
"
1513,1513,10,5,"Ótima localização.
"
1514,1514,9,4,"Incrível limpeza.
"
1515,1515,10,1,"Maravilhosa atendimento.
"
1516,1516,6,2,"Maravilhosa atendimento.
"
1517,1517,4,2,"Excelente infraestrutura.
"
1518,1518,13,5,"Incrível serviços.
"
1519,1519,15,4,"Maravilhosa atendimento.
"
152,152,4,3,"Maravilhosa atendimento.
"
1520,1520,15,3,"Incrível infraestrutura.
"
1521,1521,4,4,"Confortável atendimento.
"
1522,1522,10,4,"Incrível serviços.
"
1523,1523,15,4,"Incrível localização.
"
1524,1524,6,5,"Ótima atendimento.
"
1525,1525,11,1,"Agradável localização.
"
1526,1526,8,3,"Maravilhosa serviços.
"
1527,1527,12,2,"Excelente serviços.
"
1528,1528,7,2,"Confortável serviços.
"
1529,1529,3,2,"Ótima atendimento.
"
153,153,2,4,"Excelente atendimento.
"
1530,1530,11,5,"Incrível localização.
"
1531,1531,8,2,"Agradável localização.
"
1532,1532,12,3,"Agradável limpeza.
"
1533,1533,18,4,"Confortável atendimento.
"
1534,1534,11,5,"Maravilhosa limpeza.
"
1535,1535,11,1,"Incrível atendimento.
"
1536,1536,14,3,"Excelente infraestrutura.
"
1537,1537,9,4,"Ótima atendimento.
"
1538,1538,14,1,"Confortável serviços.
"
1539,1539,10,5,"Maravilhosa infraestrutura.
"
154,154,2,3,"Agradável serviços.
"
1540,1540,13,2,"Confortável localização.
"
1541,1541,15,4,"Ótima infraestrutura.
"
1542,1542,16,3,"Incrível infraestrutura.
"
1543,1543,14,2,"Ótima localização.
"
